index,tDept,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,overall_rating
179,Statistics,James,,Balamuta,2277487,24,average,2.5
180,Linguistics,Ercan,,Balci,1190658,4,good,5.0
181,English,Amanda,,Bales,2421897,1,good,5.0
182,Social Work,Pallassana,,Balgopal,1340559,1,good,5.0
183,Asian Studies,Anita,,Balgopal,2055765,3,good,3.8
184,English,Shawn,,Ballard,1674873,0,zero,N/A
185,Communication,Jesus,,Ballivian,1332295,1,good,5.0
186,Mathematics,Siegfred,Alan Cruz,Baluyot,2562025,3,good,4.3
187,Computer Science,John,,Bambenek,1810934,5,good,4.1
188,Philosophy,Sorin,,Bangu,1480566,29,good,4.1
189,Education,Norma,,Barajas,694620,1,good,4.0
190,Chemistry,Anne,,Baranger,916310,15,poor,2.1
191,Business,Aimee,,Barbeau,2646845,2,good,4.0
192,English,Claire,,Barber,1147117,13,good,4.0
193,Computer Science,Richard,,Barber,2365793,0,zero,N/A
194,Psychology,Aron,,Barbey,2463376,1,poor,1.0
195,Speech  Hearing Sciences,Aron,,Barbey,1997907,46,good,3.8
196,Electrical  Comp. Engineering,Yuliy,,Barishnikov,1923073,17,poor,1.6
197,Civil Engineering,Chris,,Barkan,1320232,4,good,4.4
198,Communication,William,,Barley,2497284,2,average,3.0
199,English,Mark,,Barnes,1302380,0,zero,N/A
200,Community Health Sciences,Lynne,,Barnes,1974469,0,zero,N/A
201,Women's Studies,Teresa,,Barnes,2533147,1,good,5.0
202,"Recreation, Parks, & Tourism",Lynn,,Barnet-Morris,2589228,0,zero,N/A
203,Sociology,Bernice,,Barnett,998049,13,good,3.7
204,English,Dennis,,Baron,362406,12,average,3.1
205,English,Iryce,,Baron,366538,39,good,4.3
206,Physics,Angela Maria,,Barragan Diaz,2479695,1,poor,1.0
207,History,James,,Barrett,323783,18,good,4.3
208,English,Robert,,Barrett,581853,35,average,3.2
209,Music,Janet,,Barrett,2180662,2,poor,1.0
210,History,Marsha,E.,Barrett,2287824,1,good,5.0
211,African-American Studies,Maimouna,,Barro,1201845,5,good,4.8
212,Mathematics,Alexander,,Barron,2522672,2,good,5.0
213,Agriculture,Peter,,Barry,416060,0,zero,N/A
214,Economics,Alexander,,Bartik,2399498,1,average,3.0
215,Chemistry,Grant,,Barton,2668053,1,good,5.0
216,Engineering,Tangul,,Basar,1381657,10,good,4.6
217,Civil Engineering,Tugce,,Baser,2523947,0,zero,N/A
218,Psychology,Masooda,,Bashir,1647240,11,poor,2.1
219,Mathematics,Brannon,E.,Basilio,2647860,1,good,5.0
220,Communication,Erin,,Basinger,1764357,6,good,4.8
221,Geography,Thomas,,Bassett,274832,40,average,2.7
222,Film,Anustup,,Basu,812328,24,average,3.3
223,English,Manisha,,Basu,1249655,27,good,4.3
224,Literature,Gautam,,Basu Thakur,935231,5,good,5.0
225,History,Annaliese,,Bateman,1230294,1,good,4.5
226,Urban Design & Development,Lisa,,Bates,1194222,0,zero,N/A
227,Theater,Nicole,,Batson,2601858,1,good,5.0
228,Studio Art,Luke,,Batten,1048932,3,good,4.7
229,English,Dale,,Bauer,503601,12,good,4.9
230,Mathematics,Robert,,Bauer,1416220,3,average,3.2
231,Education,Eurydice,,Bauer,1693634,4,poor,1.2
232,Accounting,Andrew,,Bauer,1703182,5,good,5.0
233,Statistics,Bavwidinsi,,Bawawana,1631341,4,poor,2.0
234,Sociology,Asef,,Bayat,1761859,2,good,4.8
235,Economics,Kathy,,Baylis,244813,15,good,4.1
236,Physics,Gordon,,Baym,1073971,2,good,4.5
237,Electrical  Comp. Engineering,Can,,Bayram,2150323,5,poor,2.4
238,English,Jensen,,Beach,1645667,7,good,4.7
239,Ethnic Studies,Jacquelyn,,Beard,1442372,0,zero,N/A
240,Engineering,James,,Beauchamp,1286582,3,poor,1.7
241,Economics,Ricardo,,Bebczuk,1722728,2,good,4.8
242,English,Rebeccah,,Bechtold,1155433,4,good,5.0
243,Psychology,Diane,,Beck,990436,11,good,3.9
244,Accounting,Paul,,Beck,1044213,5,average,2.5
245,Physics,Douglas,,Beck,1548196,14,average,3.3
246,Dance,Kenneth,,Beck,2550679,0,zero,N/A
247,Engineering,Carolyn,L.,Beck,1836374,4,good,3.9
248,Spanish,Ericka,,Beckman,1053198,8,good,4.4
249,Mathematics,Olivia,,Beckwith,2550188,1,good,4.0
250,Business,Michael,,Bednar,1225052,5,good,4.0
251,Animal Science,John,,Beever,1005047,7,average,3.0
252,Economics,Amir Hossein,,Behbahani,2200859,0,zero,N/A
253,Psychology,Shereen,,Beilstein,2092657,1,good,4.0
254,Social Work,Venera,,Bekteshi,2094678,0,zero,N/A
255,Communication,Jillian,,Beley,1481606,5,good,4.7
256,Music,Nili,,Belkind,2251512,1,poor,1.0
257,Law,George,,Bell,1591267,1,good,5.0
258,Mathematics,Mark,C,Bell,2226320,4,good,4.2
259,Biology,Alison,,Bell,1284558,4,average,3.3
260,Economics,Andrea,,Beller,1204974,3,average,3.0
261,Social Work,Janice,,Bellington,2440904,1,average,3.0
262,Biology,Michel,,Bellini,240250,32,good,3.8
263,Materials Engineering,Pascal,,Bellon,1035226,6,good,4.1
264,Communication,Sarah,,Bencivenga,2649648,0,zero,N/A
265,Civil Engineering,Rahim,,Benekohal,1931748,3,average,2.7
266,Psychology,Aaron,,Benjamin,636729,13,good,3.5
267,Social Work,Kyle,,Bennet,2502677,0,zero,N/A
268,Information Science,Terry,,Bennett,1861112,0,zero,N/A
269,French,Malyoune,,Benoit,1958375,3,good,3.5
270,Journalism,Nancy,,Benson,1064297,5,average,3.3
271,Journalism,Chris,,Benson,1169668,18,good,4.9
272,Art & Design,Eric,,Benson,1582393,3,good,4.2
273,Anthropology,Erin,,Benson,2439008,2,good,5.0
274,Engineering,Joseph,,Bentsman,216300,18,poor,2.0
275,Mechanical Engineering,Joseph,,Bentsman,2466095,1,poor,1.0
276,Special Education,Johnell,,Bentz,1359606,18,average,3.5
277,Leisure Studies,Liza,,Berdchevsky,1903925,1,poor,2.0
278,"Recreation, Parks, & Tourism",Yelyzaveta,,Berdychevsky-Kustanovich,1840012,4,poor,1.4
279,Biology,May,,Berenbaum,396566,19,good,4.7
280,Psychology,Howard,,Berenbaum,1286373,3,average,2.5
281,Mechanical Engineering,Zachary,Fluids,Berent,2252433,3,good,5.0
282,Information Science,Sidney,,Berger,1861114,3,poor,1.5
283,Media Arts,Tabe,,Bergman,1299455,2,good,4.2
284,Art  Design,Jennifer,,Bergmark,2161426,4,poor,2.0
285,Music,Louis,,Bergonzi,779497,9,average,3.3
286,Mathematics,Maarten,,Bergvelt,263447,41,average,2.5
287,Spanish,Ander,,Beristain-Murillo,2318787,6,good,5.0
288,German,Nadezda,,Berkovich,1960331,2,good,5.0
289,Biology,Stewart,,Berlocher,361100,24,average,2.6
290,Geography,Richelle,,Bernazzoli,1836631,3,good,4.7
291,Mathematics,Bruce,,Berndt,443582,15,good,3.8
292,Political Science,William,,Bernhard,124012,30,good,3.6
293,Economics,Dan,,Bernhardt,827404,5,average,2.7
294,Mathematics,Anton,,Bernshteyn,2323774,1,poor,2.0
295,Journalism,William,,Berry,623920,7,average,3.3
296,Not Specified,Shywon,,Berry,1136735,3,average,3.0
297,Psychology,Daniel,,Berry,2021060,1,good,4.5
298,Mathematics,Daniel,,Berwick-Evans,2559143,3,good,5.0
299,Speech Communication,Dave,,Beser,892692,0,zero,N/A
300,Geography,James,,Best,1210660,6,average,2.9
301,Information Science,Rhiannon,,Bettiva,1982547,6,average,2.9
302,French,Richard,,Beyogle,1689502,2,good,3.5
303,Physics,Alexey,,Bezryadin,2641033,1,good,4.0
304,Bioengineering,Kaustubh ,,Bhalerao,2019272,1,good,5.0
305,Community Health Sciences,Gagandeep,,Bhambra,2063280,0,zero,N/A
306,Engineering,Rohit,,Bhargava,842056,9,good,4.5
307,Linguistics,Rakesh,,Bhat,1304779,1,poor,1.0
308,Electrical & Computer Engineering,Suma,,Bhat,2281589,2,poor,2.0
309,Electrical amp Computer Engineering,Suma,,Bhat,2327089,0,zero,N/A
310,Languages,Rakesh,,Bhatt,516401,23,average,3.0
311,Linguistics,Rakesh,M,Bhatt,2183487,0,zero,N/A
312,Electrical & Comp. Engineering,Ujjal,Kumar,Bhowmik,2505787,6,poor,1.2
313,Communication,Cabral,,Bigman-Galimore,1879011,5,poor,1.7
314,Communication,Elizabeth,,Bigsby,2018601,4,good,3.9
315,Accounting,Okan,,Bilenoglu,881163,0,zero,N/A
316,Social Work,Shanondora,,Billiot,2424943,0,zero,N/A
317,Psychology,Randy,,Bird,830991,3,good,3.8
318,Geography,Trevor,,Birkenholtz,1892167,10,average,3.3
319,Asian Studies,Jessica,V,Birkenholtz,1892260,12,average,3.1
320,Communication,Donovan,,Bisbee,2026197,4,average,3.0
321,Statistics,William,,Biscarri,2018094,5,good,4.4
322,Communication,Nate,,bishop,2422635,1,average,3.0
323,Communication,Mardia,,Bishop,1787600,11,good,4.3
324,Languages,Lizzie,,Black,620095,5,good,4.9
325,Accounting,Bill,,Black,1816929,2,average,3.0
326,Information Science,Alistair,,Black,1861208,0,zero,N/A
327,Languages,Nancy,,Blake,609104,10,average,3.4
328,Liberal Arts & Sciences,Catherine,,Blake,1542107,7,poor,2.4
329,Not Specified,Joel,,Blanco,1660401,6,average,2.9
330,Biology,Steven,,Blanke,1413450,3,good,4.0
331,Philosophy,Bruce,,Blethell,959029,0,zero,N/A
332,Architecture,AnnaMarie,R,Bliss,2649705,1,good,5.0
333,Engineering,Dan,,Block,1687710,6,good,4.8
334,Political Science,Justin,,Blount,1704002,1,good,5.0
335,Music,Phillip,,Blume,1492320,3,average,2.7
336,Mathematics,Ioana,,Boca,2188197,0,zero,N/A
337,Mathematics,Florin,,Boca,950035,58,poor,2.3
338,Engineering,Daniel,,Bodony,1197501,10,good,4.7
339,Psychology,Brett,,Boeh,2276517,0,zero,N/A
340,Music,Kristina,G,Boerger,1902804,1,good,5.0
341,Foods & Nutrition,Dawn,,Bohn,980836,50,average,3.0
342,Agriculture,Martin,,Bohn,747722,15,poor,2.4
343,Communication,Jeremy,,Bohonos,1967121,1,good,5.0
344,Chemistry,Joni,,Boi,1296615,0,zero,N/A
345,Linguistics,Eyamba,,Bokamba,854522,8,poor,1.9
346,Accounting,Jasmijn,,Bol,1274911,9,average,2.9
347,Biology,Eric,,Bolton,1941565,5,good,4.1
348,Political Science,Valeria,,Bonatti,2451409,4,good,3.5
349,Communication,Brad,,Bond,545994,7,good,4.7
350,Engineering,Tami,,Bond,1174489,11,average,2.5
351,Information Science,Maria,,Bonn,1861115,0,zero,N/A
352,International Studies,Marco,Antonio,Bonomo,2453694,2,poor,1.0
353,Communication,George,,Boone,1517481,9,average,2.8
354,Kinesiology,Marni,,Boppart,1720689,14,good,3.6
355,Electrical amp Computer Engineering,Stephan,A,Boppart,2371673,0,zero,N/A
356,Music,Matt,,Borek,1985027,3,good,5.0
357,Electrical  Comp. Engineering,Nikita,,Borisov,2216961,20,poor,1.6
358,Community Health Sciences,Kenneth,,Borkowski,1549185,0,zero,N/A
359,Mathematics,Matthew,Strom,Borman,2296574,5,poor,1.8
360,English,Allan,,Borst,632657,17,good,4.1
361,Classics,Clara,,Bosak-Schroeder,2087935,1,good,3.5
362,Social Work,Carrie,,Bosch,2011909,1,good,4.5
363,Electrical  Computer Engineering,Subhonmesh,,Bose,2277448,2,good,5.0
364,Human & Community Development,Kelly,,Bost,499733,17,good,4.8
365,Information Science,Bobby,,Bothmann,1861116,2,good,4.8
366,Architecture,Mohamed,,Boubekri,437207,11,poor,2.5
367,Chemistry,Roman,,Boulatov,934515,13,poor,1.3
368,Music,Brett,,Boutwell,866919,0,zero,N/A
369,Business,Jon,,Bowermaster,1317192,1,poor,2.0
370,Human & Community Development,Jill,R,Bowers,1884555,4,good,5.0
371,Political Science,Jake,,Bowers,1187123,11,good,3.8
372,Spanish,Melissa,,Bowles,1181092,17,good,4.3
373,English,Andrew,,Bowman,2440902,1,good,5.0
374,English,Stephanie,,Brabant,1283106,4,good,4.4
375,English,Rebecca,,Brackmann,707731,3,average,3.1
376,Agriculture,John,,Braden,1053695,6,average,3.4
377,Business,Joe,,Bradley,1708311,4,good,5.0
378,Mathematics,Steven,,Bradlow,1744253,9,poor,2.5
379,Agriculture,Claire,,Brady,1301158,1,good,5.0
380,Architecture,Aaron,,Brakke,2277596,3,good,4.0
381,English,Carson,,Brakke,2649568,1,good,5.0
382,Kinesiology,Dorine,,Brand,1628266,2,poor,1.2
383,Animal Science,Adam,,Brandt,1881103,1,poor,1.0
384,Crop Studies,Bruce,,Branham,2316883,1,good,5.0
385,Mathematics,Michael,,Brannan,1948287,1,average,3.0
386,Speech & Hearing Sciences,Lynn,,Brault,1407196,2,good,4.2
387,Engineering,Paul,,Braun,500022,18,good,4.8
388,French,Patrick,,Bray,1541491,1,average,2.5
389,Agriculture,Dick,,Brazee,1091481,8,good,3.6
390,History,James,,Brennan,1191260,13,good,4.0
391,Political Science,Bernard,,Brennan,2477263,2,average,3.0
392,Engineering,Yoram,,Bresler,1269903,6,good,4.0
393,Engineering,Timonthy,,Bretl,1249559,10,good,3.9
394,Mechanical Engineering,M Quinn,,Brewster,1998695,3,average,2.9
395,Geography,Elizabeth,,Breyer,2539669,0,zero,N/A
396,Biochem.  Molecular Biology,William,,Brieher,1987021,3,good,4.8
397,Studio Art,Molly,,Briggs,1363754,3,good,4.5
398,Theater,Latrelle,,Bright,1448394,5,poor,1.0
399,Psychology,Daniel,,Briley,2202768,1,good,4.0
400,Graphic Arts,Henry,,Brimmer,839326,3,poor,1.0
401,Biology,Donald,,Briskin,1618965,6,good,4.4
402,Mathematics,Richard,,Britton,780868,0,zero,N/A
403,Political Science,Kylee,,Britzman,2107452,1,good,5.0
404,Finance,Chuck,,Brobst,2673384,1,good,5.0
405,German,Janina,,Brommer,2303457,0,zero,N/A
406,Mathematics,Jared,,Bronski,936282,55,good,4.0
407,Community Health Sciences,Dan,,Bronson-Lowe,1749450,3,good,4.3
408,Human & Community Development,Jan,,Brooks,1717084,12,good,4.8
409,History,Claudia,,Brosseder,2134287,1,good,5.0
410,Food Science,Jorden,,Brotherton,2579573,2,good,5.0
411,Leisure Studies,Katherine,,Broughton,1480785,31,good,3.7
412,Engineering,Donna,,Brown,7738,28,average,3.3
413,Education,David,,Brown,21062,7,average,2.5
414,Accounting,Clifton,,Brown,796987,16,good,3.6
415,Classics,Matt,,Brown,847967,3,good,5.0
416,Economics,Kristine,,Brown,1205710,5,good,4.6
417,Women's Studies,Ruth,,Brown,1277527,2,good,4.8
418,Finance,Jeffrey,R.,Brown,1841476,14,good,4.8
419,Accounting,Timothy,,Brown,2040062,3,good,4.7
420,Earth Science,Constance,,Brown,2624408,1,poor,1.0
421,Finance,Darwin,F,Brown,2495345,4,poor,1.5
422,Biology,Chester,,Brown,1071835,27,average,3.0
423,Psychology,Sarah,,Brown-Schmidt,1700413,9,good,3.9
424,Agriculture,Nicholas,,Brozovic,1098796,5,good,3.7
425,Information Science,Chip,,Bruce,1861187,0,zero,N/A
426,Business,John,,Bruke,1534435,1,poor,1.0
427,Communication,Katie,,Bruner,2014719,3,good,4.3
428,Engineering,Marie-Christine,,Brunet,7739,47,good,3.8
429,Physics,Robert,,Brunner,531660,30,good,3.8
430,English,Jamie,,Brunton,1085980,3,good,3.8
431,Philosophy,Ben,,Bryan,2461780,2,good,3.5
432,Law,Christopher,,Buccafusco,1232685,5,average,3.2
433,Music,Donna,,Buchanan,396558,14,average,2.8
434,Business,Marcelo,,Bucheli,989493,6,good,4.3
435,History,John,,Buckler,158033,11,average,2.6
436,Sociology,Cynthia,J,Buckley,1863188,16,average,2.5
437,Economics,Bryan,,Buckley,1926164,43,good,3.8
438,Physics,Raffi,,Budakian,1636271,13,average,3.4
439,Psychology,Simona,,Buetti,2201972,9,good,5.0
440,History,Bao,,Bui,2134577,1,good,5.0
441,Health Science,Lydia,,Buki,1241565,2,average,3.0
442,Food Science,Toni,Marie,Bukrhalter,2320706,0,zero,N/A
443,Economics,David,,Bullock,21921,13,poor,2.4
444,Education,Cheryl,,Bullock,171230,3,good,5.0
445,Agriculture,Donald,,Bullock,1657559,10,average,2.8
446,Art & Design,William,,Bullock,1855838,6,poor,2.0
447,Speech  Hearing Sciences,Caroline,,Bunch,2080659,5,average,2.9
448,Biochem. & Molecular Biology,Dustin,,Buntrock,2613274,0,zero,N/A
449,English,Aaron,,Burch,1549176,1,good,5.0
450,Information Science,Bob,,Burger,1861117,3,good,4.5
451,Foods & Nutrition,Lisa,,Burgoon,1083946,15,good,4.6
